Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Francisco Petrasso,Independiente Rivadavia,DF,,ARG,21.0,4.8,0.21,0.0,0.05,0.01,100.0,0.83,0.0,57.7,66.2,58.3,84.5,55.7,50.0,0.42,0.25,0.5,0.06,0.06,0.21,0.42,1.67,0.0,1.25,1.46,2.71,20.42,554.79,260.83,0.21,0.0,0.0,1.46,0.0,42.29,0.42,16.88,62.92
Franco Romero,Independiente Rivadavia,MF,,ARG,23.0,26.9,0.07,0.0,0.06,0.01,43.1,1.41,0.04,34.8,79.0,83.7,87.5,64.1,60.0,0.0,0.0,0.0,0.02,0.02,0.07,0.89,4.28,0.0,2.12,1.41,6.99,28.85,529.89,172.01,0.37,-0.01,0.04,0.41,0.11,46.8,0.93,19.0,40.71
Gonzalo Marinelli,Independiente Rivadavia,GK,,ARG,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,58.7,100.0,95.8,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,14.2,481.2,405.6,0.0,0.0,0.0,0.0,0.0,26.0,0.0,7.2,38.6
Gonzalo Ríos,Independiente Rivadavia,MF,FW,ARG,25.0,7.3,0.14,0.0,0.11,0.02,52.9,3.27,0.14,14.8,80.0,92.9,75.4,66.7,53.3,0.68,0.07,0.2,0.05,0.13,0.14,4.79,2.74,0.0,0.41,1.64,4.38,19.18,286.03,74.93,0.68,-0.01,0.0,0.27,1.1,39.59,4.11,21.78,88.63
Iván Villalba,Independiente Rivadavia,DF,,PAR,29.0,18.6,0.11,0.11,0.07,0.04,54.5,0.8,0.27,58.4,66.9,77.9,80.2,41.7,33.3,0.16,0.18,0.67,0.12,0.11,0.21,0.32,2.26,0.0,1.08,0.86,2.58,23.01,515.32,246.51,0.38,0.06,0.0,0.7,0.0,45.81,0.16,16.77,42.2
Lautaro Ríos,Independiente Rivadavia,MF,,ARG,23.0,13.1,0.08,0.15,0.14,0.09,51.6,1.91,0.15,43.1,71.8,81.5,75.2,50.0,36.4,0.3,0.04,0.25,0.08,0.23,0.23,2.06,3.28,0.0,0.69,1.76,4.89,18.63,305.04,103.97,0.69,0.06,0.0,0.15,0.38,40.0,1.68,15.95,33.82
Luciano Abecasis,Independiente Rivadavia,DF,,ARG,33.0,10.4,0.0,0.1,0.01,0.07,60.0,1.63,0.1,38.5,68.4,82.9,71.0,52.4,42.9,0.0,0.0,0.0,0.02,0.08,0.1,3.27,3.17,0.0,0.38,1.73,4.13,27.12,511.35,185.19,0.67,0.03,0.0,0.67,3.08,51.54,1.35,17.79,32.5
Luis Sequeira,Independiente Rivadavia,MF,,ARG,21.0,11.1,0.09,0.09,0.08,0.14,54.5,4.69,0.27,29.2,74.1,85.9,78.1,62.3,54.3,0.72,0.05,0.13,0.04,0.22,0.18,4.05,6.49,0.0,0.36,1.53,6.49,33.69,697.84,252.16,1.98,-0.05,0.18,2.34,2.07,57.84,4.14,33.24,93.51
Matías Reali,Independiente Rivadavia,FW,MF,ARG,26.0,5.0,0.2,0.0,0.07,0.08,40.0,2.41,0.2,42.9,62.3,79.5,64.4,26.3,33.3,1.2,0.09,0.17,0.03,0.15,0.2,7.2,1.4,0.0,0.4,0.6,3.2,14.2,221.6,43.0,0.8,-0.08,0.0,0.2,6.4,34.4,3.6,20.6,83.8
Matías Ruíz Díaz,Independiente Rivadavia,DF,,ARG,27.0,7.8,0.0,0.0,0.05,0.04,87.5,1.15,0.0,40.9,58.7,83.3,58.5,26.0,40.0,0.0,0.0,0.0,0.08,0.09,0.0,3.59,2.31,0.0,0.51,1.28,2.56,21.28,325.9,147.31,0.26,-0.04,0.0,0.0,3.72,47.31,0.64,15.51,35.26
Mauricio Asenjo,Independiente Rivadavia,FW,,ARG,29.0,7.6,0.0,0.0,0.13,0.04,40.0,1.84,0.13,55.2,51.2,53.3,62.8,50.0,33.3,0.53,0.0,0.0,0.08,0.17,0.0,3.42,1.84,0.0,0.0,0.66,2.24,11.45,153.55,37.5,0.92,-0.04,0.0,0.0,0.53,34.08,1.18,15.39,23.29
Mauricio Cardillo,Independiente Rivadavia,MF,DF,ARG,20.0,7.2,0.0,0.14,0.18,0.02,50.0,1.11,0.28,50.0,55.4,67.5,58.0,28.1,12.5,0.42,0.0,0.0,0.16,0.2,0.14,3.89,2.78,0.0,1.25,0.83,2.78,14.86,238.47,119.86,0.42,0.12,0.0,0.0,1.25,37.64,1.11,12.92,36.39
Sebastián Villa,Independiente Rivadavia,FW,,COL,27.0,21.6,0.19,0.28,0.16,0.2,44.4,3.48,0.28,12.5,59.2,83.6,65.9,37.5,39.2,0.84,0.08,0.22,0.05,0.33,0.46,9.03,3.38,0.05,0.23,0.37,4.03,18.47,352.41,114.68,1.94,0.07,0.09,0.88,8.66,42.5,4.72,27.59,106.53
Sheyko Studer,Independiente Rivadavia,DF,,ARG,21.0,13.8,0.14,0.0,0.04,0.0,72.7,0.22,0.0,70.0,71.7,76.1,85.7,45.1,100.0,0.22,0.33,0.67,0.1,0.05,0.14,0.22,1.88,0.0,1.67,0.87,2.54,23.84,519.64,190.65,0.07,0.0,0.0,0.43,0.07,45.65,0.22,19.2,47.75
Tiago Palacios,Independiente Rivadavia,DF,,ARG,20.0,8.5,0.0,0.0,0.03,0.0,76.5,0.94,0.0,69.2,64.2,84.4,82.3,40.4,56.0,0.12,0.0,0.0,0.04,0.03,0.0,0.35,2.0,0.0,1.53,1.76,7.18,20.24,464.94,227.53,0.0,0.0,0.0,0.82,0.47,44.71,2.94,20.82,81.41
Tobías Ostchega,Independiente Rivadavia,DF,,ARG,25.0,20.7,0.0,0.0,0.06,0.08,66.7,1.4,0.05,55.9,67.9,82.6,72.8,33.6,52.5,0.14,0.0,0.0,0.09,0.14,0.0,3.33,3.14,0.0,1.74,1.26,3.77,27.58,467.58,210.19,0.87,-0.08,0.0,0.05,2.22,52.51,1.93,20.68,55.7
Victorio Ramis,Independiente Rivadavia,FW,,ARG,29.0,8.5,0.47,0.12,0.28,0.1,88.9,1.77,0.24,41.5,65.6,73.8,73.6,50.0,55.6,0.82,0.25,0.57,0.15,0.38,0.59,5.06,1.41,0.0,0.59,0.71,2.47,14.82,185.65,32.82,0.82,0.01,0.12,0.0,0.12,33.76,1.06,17.88,20.47
Bruno Leyes,Godoy Cruz,MF,,ARG,22.0,19.6,0.0,0.0,0.02,0.02,40.5,1.33,0.1,46.2,78.1,84.4,83.9,60.8,70.0,0.1,0.0,0.0,0.02,0.03,0.0,0.41,4.64,0.0,2.04,1.43,6.53,34.8,710.36,232.76,0.36,-0.02,0.0,0.82,0.36,53.78,0.51,26.12,48.62
Daniel Barrea,Godoy Cruz,MF,FW,ARG,22.0,13.9,0.22,0.29,0.14,0.32,53.8,2.45,0.58,61.4,67.0,80.4,72.8,31.0,44.0,0.72,0.09,0.3,0.06,0.46,0.5,5.83,1.58,0.07,0.65,0.65,4.75,14.46,207.84,52.95,1.29,-0.04,0.0,0.14,1.8,34.82,3.6,19.5,60.0
Elías Pereyra,Godoy Cruz,DF,,ARG,24.0,12.5,0.0,0.0,0.0,0.02,60.6,1.08,0.15,52.9,70.4,83.3,72.7,43.4,41.7,0.08,0.0,0.0,0.02,0.02,0.0,2.56,3.92,0.08,1.36,1.68,4.08,28.16,495.68,220.64,0.56,-0.02,0.0,0.24,1.36,50.88,0.96,20.64,49.2
